"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"Csforever19941","2026-01-06","01:34:31","@adrianobhavanas @BolsonaroSP @NicolasMaduro Rapaz. Cuidado para o cabeça de glande não te colocar no inquérito eterno das fake News. Isso dá cadeia hj em dia. Diz aí quem foram os deputados q não querem convocar para depor determinados personagens chave do roubo do inss? Diz aí. https://t.co/vb3oU3cGDC",1,304,47,0,3,0,0,"",0.03608342260122299,0.4002060890197754,0.5637105107307434,"negativo"
"Csforever19941","2026-01-06","01:33:18","@adrianobhavanas @BolsonaroSP @NicolasMaduro Tu vive em que planeta seu massa de manobra? Sabe como tu é chamado pelos próprios esquerdistas q você defende? Idiota útil. Vá no mercado e diga quando era mais barata a vida. https://t.co/ZdNYUt8bO6",1,245,37,0,3,0,0,"",0.005460917949676514,0.017135193571448326,0.9774038791656494,"negativo"
"salazar87787","2026-01-06","00:36:20","@naimar_da @BolsonaroSP @NicolasMaduro O bandido já esta acostumado com a prisão; pior que um bandido é quem vota nele e o defende!",0,131,22,0,3,0,0,"",0.005330596584826708,0.02084069326519966,0.9738286733627319,"negativo"
"TereCeliaregina","2026-01-05","20:48:12","@BolsonaroSP @LizaBonoro @NicolasMaduro 👏👏👏👏",0,44,4,4,3,0,0,"",0.8320222496986389,0.14851097762584686,0.019466834142804146,"positivo"
"adrianobhavanas","2026-01-05","18:41:49","@Csforever19941 @BolsonaroSP @NicolasMaduro Se ficar chorando vai ser 50 depois da quadrilha Bolsonaro talvez direita Bolsonarista nunca mais kkkkkk",0,148,19,0,3,0,0,"",0.023747561499476433,0.29437056183815,0.6818819046020508,"negativo"
"adrianobhavanas","2026-01-05","18:40:55","@Csforever19941 @BolsonaroSP @NicolasMaduro Maís FHC e de direita kkkkkkkkkkkkk a vc gosta de estuprador assassino pastor ladrão entende não e direita e bandidos",0,161,23,0,3,0,0,"",0.007953326217830181,0.07521726936101913,0.9168293476104736,"negativo"
"adrianobhavanas","2026-01-05","18:39:51","@Csforever19941 @BolsonaroSP @NicolasMaduro Vc tem que pesquisar até porque Dino tá rastreando todos a PF está perto de pedir para reabrir as investigações onde leva todos os desvios dessa quadrilha, Bolsonaro",0,209,31,0,3,0,0,"",0.04867246001958847,0.48389360308647156,0.46743401885032654,"neutro"
"adrianobhavanas","2026-01-05","18:38:24","@Csforever19941 @BolsonaroSP @NicolasMaduro Se o mito tomou uma surra de quase três milhões de votos, imagina com esse ladrão kkkkkkk quem sabe dessa vez não reabre as investigações que o pai interferiu trocando o delegado que estava quase pegando esse bandido com as emendas se ele roubou o caso e reaberto https://t.co/nZdvbMR396",1,331,52,0,3,0,0,"",0.0471438430249691,0.3649197816848755,0.5879364013671875,"negativo"
"adrianobhavanas","2026-01-05","18:35:28","@Csforever19941 @BolsonaroSP @NicolasMaduro Sim se essa divisão é tão favorável porque Bozo não se reelegeu kkkkkkkkk vcs não tem como mentir as urnas diz tudo e vcs já sabem o resultado desse ano derrota no senado congresso e presidência kkkkkk",0,245,40,0,3,0,0,"",0.06689181923866272,0.4718748927116394,0.4612332880496979,"neutro"
"adrianobhavanas","2026-01-05","18:33:17","@Csforever19941 @BolsonaroSP @NicolasMaduro Nossa tô vendo 90% envolvido e de direita e centrão kkkkkkkkkkk tá de sacanagem né putinha de ladrão",0,144,21,0,3,0,0,"",0.006295629311352968,0.04097489267587662,0.9527295231819153,"negativo"
"adrianobhavanas","2026-01-05","18:31:44","@Csforever19941 @BolsonaroSP @NicolasMaduro Nossa mais quem deixou o povo na fila dos ossos foi Bolsonaro vê agora canalha kkkkkkkkkk não tem como vcs mentir agora e só lapada no lombo e derrota nas urnas",0,204,34,0,3,0,0,"",0.008980370126664639,0.030367136001586914,0.9606525301933289,"negativo"
"Csforever19941","2026-01-05","15:59:48","@adrianobhavanas @BolsonaroSP @NicolasMaduro Você defende O maduro? Pq não se mudou para lá? Diga o q o povo venezuelano está fazendo? Estão indo as ruas pedir o retorno do ditador? https://t.co/z0oAs94G5R",1,205,31,0,3,0,0,"",0.015657968819141388,0.15243735909461975,0.8319046497344971,"negativo"
"Csforever19941","2026-01-05","15:58:53","@adrianobhavanas @BolsonaroSP @NicolasMaduro Veio essas coisas q tu usa está acabando contigo? Você esta Trocando as bolas. Vejam os escândalos todo dia? Pq os deputados da esquerda estão blindando o filho, o irmão, a nora do lule no inss? https://t.co/8fqwhx0nOS",1,263,40,0,3,0,0,"",0.013364499434828758,0.1540125459432602,0.8326229453086853,"negativo"
"Csforever19941","2026-01-05","15:57:09","@adrianobhavanas @BolsonaroSP @NicolasMaduro Você tomoi Qtas doses da vacina? Está vendo q esquerdista só repete o q a seita manda. O primeiro país a aplicar as vacinas foi a grã Bretanha, pq era produtor. No Brasil começaram a ser aplicadas em menos de 15 dias depois. Proporcionalmente o Brasil foi dos q mais aplicou vacin https://t.co/QPppIufVJS",1,349,56,0,3,0,0,"",0.03291663900017738,0.40599629282951355,0.5610870122909546,"negativo"
"Csforever19941","2026-01-05","15:54:31","@adrianobhavanas @BolsonaroSP @NicolasMaduro Huahuahuahua. Era orégano estragado do zaraio q tu anda fumando. https://t.co/NccB3tITIV",1,133,14,0,3,0,0,"",0.05067538842558861,0.6067440509796143,0.34258055686950684,"neutro"
"Csforever19941","2026-01-05","15:53:50","@adrianobhavanas @BolsonaroSP @NicolasMaduro Em lugar nenhum. São 20 anos de pt. Oito de fhc que é centro esquerda. 5 de collor/itamar. Foram apenas 4 anos da direita no poder e tu quer q conserte toda a desgraça que os seus líderes fizeram em 33? Tu não perceber isso só prova q sua capacidade cerebral é realmente de 87 https://t.co/qO3R8N6MNq",1,345,59,0,3,0,0,"",0.014873376116156578,0.06699197739362717,0.9181346297264099,"negativo"
"Csforever19941","2026-01-05","15:52:03","@adrianobhavanas @BolsonaroSP @NicolasMaduro Tu vive em q país brother. Fala a verdade aí. Depois de 20 anos de pt no poder tu só come filé mignon e? Viramos a Suíça brasileira depois de Bolsonaro preso. https://t.co/Y1UXGOhsDl",1,227,36,0,3,0,0,"",0.003848509630188346,0.018107669427990913,0.9780438542366028,"negativo"
"Rosalindaflorsp","2026-01-05","15:03:31","@Belzebu___666 @BolsonaroSP @NicolasMaduro O véio é ligero",0,58,7,0,3,0,0,"",0.9804350137710571,0.01716342568397522,0.0024015731178224087,"positivo"
"Rosalindaflorsp","2026-01-05","15:03:04","@BolsonaroSP @NicolasMaduro Ele teme? Mano para de usar drogas… as alucinações estão altas",0,90,13,0,2,0,0,"",0.01016277726739645,0.0823417454957962,0.907495379447937,"negativo"
"thonytom","2026-01-05","14:37:51","@ACatracaBR @BolsonaroSP @rachel_blo9944 @NicolasMaduro Tem que meter fumo nesse bananinha!",0,91,10,0,4,0,0,"",0.006643802393227816,0.01754293404519558,0.9758132696151733,"negativo"
"thonytom","2026-01-05","14:36:01","@BolsonaroSP @NicolasMaduro Esse merdinha, que tem um Pai golpista preso, tem um irmão cheio de rachadinhas, um que não fala coisa com com coisa em Camboriú, um que sofre dos nervos, e ele mesmo um traidor da pátria fujão, querendo dar palpite!",0,244,42,0,2,0,0,"",0.003114163177087903,0.0073762028478085995,0.9895097017288208,"negativo"
"StalkerandPeopl","2026-01-05","14:25:12","@BolsonaroSP @NicolasMaduro Kkk vc é uma anta",0,45,7,0,2,0,0,"",0.008861937560141087,0.017996303737163544,0.9731417894363403,"negativo"
"PintorOpressor","2026-01-05","14:02:01","@BolsonaroSP @NicolasMaduro Parabéns líder legítimo.",0,52,5,0,2,0,0,"",0.9802138209342957,0.0163422878831625,0.0034439549781382084,"positivo"
"FCosta76582","2026-01-05","11:03:30","@BolsonaroSP @NicolasMaduro Fora o investimento do crime organizado na campanha de esquerda.",0,92,12,0,2,0,0,"",0.0197942815721035,0.5439412593841553,0.4362644553184509,"neutro"
"JOSUEFORTE11","2026-01-05","10:22:15","@corintgils83359 @BolsonaroSP @NicolasMaduro https://t.co/Xk7WaCnUfp",1,68,4,0,3,0,0,"",0.05683412030339241,0.9249245524406433,0.018241360783576965,"neutro"
"tsmaab","2026-01-05","07:29:10","@BolsonaroSP @NicolasMaduro 🍌 🍌 🍌 🍌 🍌 tua vida política acabou e vc será preso sooner or later mr banana 🍌 https://t.co/xzgbyabz7P",1,130,22,6,2,0,0,"",0.07448511570692062,0.7124055624008179,0.2131093591451645,"neutro"
"tsmaab","2026-01-05","07:27:18","@MarcoHeckmann @BolsonaroSP @NicolasMaduro E agora? https://t.co/TxjU8YlUF3",1,75,6,0,3,0,0,"",0.018348127603530884,0.9351822137832642,0.046469707041978836,"neutro"
"Sonia4607435672","2026-01-05","06:08:16","@BolsonaroSP @NicolasMaduro Fora Lula vagabundo",0,47,5,0,2,0,0,"",0.00685739703476429,0.01056502852588892,0.9825776219367981,"negativo"
"IvanMaiaS01","2026-01-05","05:16:35","@BolsonaroSP @NicolasMaduro https://t.co/c3jGJmcSol",1,51,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"Apenas_Daniel2","2026-01-05","03:12:06","@BolsonaroSP @NicolasMaduro Mais 72 horas?",0,42,5,0,2,0,0,"",0.01624869368970394,0.9542600512504578,0.02949134074151516,"neutro"
"Fabiano91619892","2026-01-05","02:38:40","@BolsonaroSP @NicolasMaduro DUDU, BANANINHA, BANANÃO, SEU LUGAR É NA PRISÃO!!!",0,78,10,0,2,0,0,"",0.00846125464886427,0.039805855602025986,0.951732873916626,"negativo"
"Ubiraja39753650","2026-01-05","02:29:56","@BolsonaroSP @NicolasMaduro Playboy de merda",0,44,5,0,2,0,0,"",0.0036609976086765528,0.005970105994492769,0.9903689026832581,"negativo"
"andgaspar","2026-01-05","02:13:28","@BolsonaroSP @NicolasMaduro Toc toc toc.....sera exonerado!!!!!",0,63,6,0,2,0,0,"",0.030246563255786896,0.4514968693256378,0.5182565450668335,"negativo"
"JailtonCab55472","2026-01-05","02:08:00","@BolsonaroSP @NicolasMaduro https://t.co/Rqpw31Ytob",1,51,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"AndraLeite6","2026-01-05","02:07:46","@BolsonaroSP @LuGamoradecor @NicolasMaduro AGORA TRUMP TEM QUE VIM PRO BRASIL",0,77,10,0,3,1,0,"",0.14722542464733124,0.7481203079223633,0.1046542376279831,"neutro"
"bailondrina","2026-01-05","02:04:29","@BolsonaroSP @NicolasMaduro Para de cagar pela boca seu lixo.",0,61,9,0,2,0,0,"",0.003586326027289033,0.006319134496152401,0.9900946021080017,"negativo"
"alvo_negro","2026-01-05","01:36:08","@BolsonaroSP @NicolasMaduro Dá uma maneirada no fentanil, futuro presidiário, a galera já tá comentando por aqui.",0,113,16,0,2,0,0,"",0.00858292356133461,0.05313873663544655,0.938278317451477,"negativo"
"normandogs","2026-01-05","01:10:41","@BolsonaroSP @NicolasMaduro Fica tranquilo!! Bolsonaro que pretendia se tornar ditador foi condenado e preso.",0,109,14,0,2,1,0,"",0.05448790639638901,0.6015308499336243,0.3439813256263733,"neutro"
"rib96698","2026-01-05","01:10:03","@BolsonaroSP @NicolasMaduro O Lula não teme nada animal",0,55,8,0,2,0,0,"",0.030681446194648743,0.30568668246269226,0.6636319160461426,"negativo"
"wenderson_brito","2026-01-05","00:53:21","@BolsonaroSP @NicolasMaduro Esses militares que adotam o regime da ditadura devem-se punidos severamente.",0,105,13,0,2,0,0,"",0.019190387800335884,0.17351162433624268,0.807297945022583,"negativo"
"piraju_","2026-01-05","00:49:42","@BolsonaroSP @NicolasMaduro hahahahahhahahahhahahahaha alguem acredita nesses tontos ainda?",0,91,8,0,2,0,0,"",0.006348852068185806,0.026514029130339622,0.9671371579170227,"negativo"
"cristianomoby","2026-01-05","00:49:36","@BolsonaroSP @NicolasMaduro O BANDIDO DO SEU PAI TA PRESO MANÉ. https://t.co/eDEG4b3Lsp",1,87,11,0,2,0,0,"",0.010951674543321133,0.06681157648563385,0.9222367405891418,"negativo"
"puma58150","2026-01-05","00:42:05","@BolsonaroSP @NicolasMaduro Sempre iludindo o gado. https://t.co/ZZidHECiPx",1,75,7,0,2,0,0,"",0.13368166983127594,0.5819279551506042,0.28439033031463623,"neutro"
"ManoelsCruz","2026-01-05","00:20:40","@MaryniceChris @BolsonaroSP @Tali_Mito22 @NicolasMaduro https://t.co/M1RfPFJV84",1,79,5,0,4,0,0,"",0.06604301184415817,0.9195349216461182,0.014422144740819931,"neutro"
"ManoelsCruz","2026-01-05","00:19:15","@RaindangerSo @BolsonaroSP @NicolasMaduro https://t.co/5CE5SGD6Ai",1,65,4,0,3,0,0,"",0.05683412030339241,0.9249245524406433,0.018241360783576965,"neutro"
"ManoelsCruz","2026-01-05","00:18:19","@BolsonaroSP @NicolasMaduro É sério que um ex-deputado consegue fazer uma análise desse tipo? A posição da maioria dos líderes que se manifestaram contra o ataque não foi em defesa de Maduro, mas sim uma denúncia do imperialismo americano contra um país soberano.",0,263,42,0,2,0,0,"",0.031196970492601395,0.11183604598045349,0.8569669723510742,"negativo"
"L_Forces","2026-01-05","00:11:22","@BolsonaroSP @NicolasMaduro Bananinha cada dia mais parecido com o Queiroz, aquele amigo da família, que administrava as rachadinhas dos Bolsonaros. Vale um DNA",0,160,23,0,2,0,0,"",0.12237913906574249,0.8159160017967224,0.06170482933521271,"neutro"
"bt148341","2026-01-05","00:04:06","@RaindangerSo @BolsonaroSP @NicolasMaduro Bolsonaro e Maduro são farinhas do mesmo saco. https://t.co/YrtKoJGwXy",1,112,12,0,3,0,0,"",0.03362009674310684,0.5325616598129272,0.43381819128990173,"neutro"
"ueennnnnnn","2026-01-04","23:46:34","@BolsonaroSP @NicolasMaduro não vejo a hora do trump te mandar num avião algemado",0,81,13,0,2,0,0,"",0.13182967901229858,0.6128860712051392,0.25528424978256226,"neutro"
"ueennnnnnn","2026-01-04","23:45:40","@IceManBrasil @BolsonaroSP @NicolasMaduro fonte: vozes da minha cabeça",0,70,8,0,3,0,0,"",0.15565219521522522,0.8326540589332581,0.011693758890032768,"neutro"
"ueennnnnnn","2026-01-04","23:45:03","@BolsonaroSP @NicolasMaduro vai trabalhar, VAGABUNDO!",0,53,5,0,2,0,0,"",0.00564234284684062,0.01655643805861473,0.9778011441230774,"negativo"
"FranciscoPret16","2026-01-04","23:35:49","@BolsonaroSP @NicolasMaduro a verdade os petralhas odeiam a verdade",0,67,9,0,2,0,0,"",0.04475890472531319,0.42594799399375916,0.5292931199073792,"negativo"
"ProfJoelmass","2026-01-04","23:30:54","@BolsonaroSP @NicolasMaduro #flaviobolsonaropresidente 🇧🇷",0,57,4,1,2,0,0,"",0.22096693515777588,0.7627378702163696,0.0162951722741127,"neutro"
"DSLDsuper","2026-01-04","22:25:29","@BolsonaroSP @NicolasMaduro Bananinha, você acha mesmo se por ventura os EUA fizerem a mesma coiso no Brasil iria beneficiar a família Bolsonaro? Cara caia na real. Nunca foi pela democracia e sim petróleo. EUA fez o que fez só pelo petróleo. Agora imagina se China mandassem uns navios lá para Venezuela.",0,305,51,0,2,0,0,"",0.021036040037870407,0.0668298676609993,0.9121341109275818,"negativo"
"nilzacossta","2026-01-04","22:23:43","@BolsonaroSP @NicolasMaduro https://t.co/zemSxKwULI",1,51,3,0,2,1,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"nilzacossta","2026-01-04","22:17:24","@Samhds2 @BolsonaroSP @NicolasMaduro EM BREVE, O PRESIDENTE @realDonaldTrump @SecRubio DARÁ UM JEITO NESSE DESCONDENADO COMUNISTA.",0,130,15,0,5,1,0,"",0.022801868617534637,0.5797221064567566,0.3974760174751282,"neutro"
"nilzacossta","2026-01-04","22:14:50","@BolsonaroSP @rsilveirafilho @NicolasMaduro https://t.co/7qHuXdyQgV",1,67,4,0,3,1,0,"",0.05683412030339241,0.9249245524406433,0.018241360783576965,"neutro"
"nilzacossta","2026-01-04","22:14:16","@BolsonaroSP @rsilveirafilho @NicolasMaduro AGUARDANDO ESSA CENA FENOMENAL! https://t.co/0JeISPpw9z",1,99,8,0,3,1,0,"",0.9681165814399719,0.028325697407126427,0.0035577164962887764,"positivo"
"alexandrenau","2026-01-04","21:52:50","@BolsonaroSP @NicolasMaduro Não temeu com a prisão do vagabundo do Bolsonaro kkkkkk",0,83,12,0,2,0,0,"",0.013123786076903343,0.6044753193855286,0.38240090012550354,"neutro"
"JooMrio04432667","2026-01-04","21:37:35","@BolsonaroSP @NicolasMaduro Flávio presidente e Nikolas governador MG",0,69,8,0,2,0,0,"",0.06125682592391968,0.9070683717727661,0.03167485073208809,"neutro"
"Jacques2Tais","2026-01-04","21:35:42","@BolsonaroSP @NicolasMaduro TOMARA Q TU TENHAS RAZAO, e o MADURO ABRA O BICO…😬😬👀👀👀👊💪💪🙏🙏🙏🙏🙏",0,90,13,13,2,0,0,"",0.16234435141086578,0.27251091599464417,0.5651447176933289,"negativo"
"macfdx1958","2026-01-04","21:21:13","@BolsonaroSP @NicolasMaduro Cada dia que passa, você só reforça a ideia de que vagabundos não gostam mesmo de trabalhar e só vivem sendo sustentados por alguém. Sua revolta com a P.F., é pq você terá que voltar a trabalhar. Volte a assumir seu cargo, mostre que você não tem medo de voltar ao Brasil Covarde.",0,308,55,0,2,0,0,"",0.019262541085481644,0.032349538058042526,0.948387861251831,"negativo"
"LauroRocha57248","2026-01-04","20:28:39","@BolsonaroSP @NicolasMaduro Lula não teme nada, estamos com ele firmes e fortes. Você é só mais um derrotado.",0,109,18,0,2,0,0,"",0.09010683000087738,0.591179370880127,0.31871384382247925,"neutro"
"henriquelopessp","2026-01-04","20:21:44","@BolsonaroSP @NicolasMaduro kkkkkkkkkkkk pqp mano",0,49,5,0,2,3,0,"",0.2367563247680664,0.1837693601846695,0.5794742107391357,"negativo"
"Soares7874","2026-01-04","20:15:24","@BolsonaroSP @NicolasMaduro https://t.co/8uF1kKXI0C",1,51,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"Rossihulk","2026-01-04","20:04:53","@BolsonaroSP @NicolasMaduro https://t.co/v8RkvVl0GZ",1,51,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"OrinHeilel","2026-01-04","19:46:42","@BolsonaroSP https://t.co/8dOkAtuhJV",1,36,2,0,1,0,0,"",0.08893736451864243,0.8671140670776367,0.04394860565662384,"neutro"
"adrianobhavanas","2026-01-04","19:45:03","@Csforever19941 @BolsonaroSP @NicolasMaduro Kkkkkkkkkkkkkkk se ficar chorando 2030 vamos votar no Lulinha em kkkkkkk sai o pai entra o filho https://t.co/jJRn21SJHP",1,164,21,0,3,0,0,"",0.06618671119213104,0.597649097442627,0.3361641764640808,"neutro"
"MoreiaJorge","2026-01-04","19:13:10","@BolsonaroSP @NicolasMaduro SEU MERDA",0,37,4,0,2,0,0,"",0.003930636215955019,0.005602587480098009,0.9904667735099792,"negativo"
"NunesOsi","2026-01-04","18:56:27","@BolsonaroSP @NicolasMaduro Lula é um.chefe de Estado, e tem mais é que se preocupar com seu país, que se cair nas mãos dessa direita raivosa, mentirosa, racista, preconceituosa e incompetente vão governar pra atender os interesse americanos, como exemplo recente as tarifas de Trump.",0,284,44,0,2,0,0,"",0.012833233922719955,0.030636653304100037,0.9565301537513733,"negativo"
"JulioBessa86555","2026-01-04","18:29:00","@IceManBrasil @BolsonaroSP @NicolasMaduro https://t.co/TK05LQSkJl",1,65,4,0,3,0,0,"",0.05683412030339241,0.9249245524406433,0.018241360783576965,"neutro"
"ItalianoWM","2026-01-04","18:14:05","@BolsonaroSP @NicolasMaduro Que o Bolsonaro seja deportado para os USA por tráfico de drogas https://t.co/Os2snHBFhY",1,116,15,0,2,0,0,"",0.01909053511917591,0.408019483089447,0.572890043258667,"negativo"
"DIOGENESNOBERTO","2026-01-04","18:11:19","@BolsonaroSP @NicolasMaduro Só fala merda!",0,42,5,0,2,0,0,"",0.0036831602919846773,0.006985638290643692,0.9893311262130737,"negativo"
"GiToledo8","2026-01-04","17:41:53","@BolsonaroSP @NicolasMaduro E vc teme oque? Kkkkk conta aí p gente",0,66,11,0,2,0,0,"",0.0342693105340004,0.7201157212257385,0.24561497569084167,"neutro"
"GSilva37027","2026-01-04","17:37:58","@BolsonaroSP @NicolasMaduro Não parar ,não precipitar ,não retroceder a caminhada é longa mas quem resistir mais Ganha !🇧🇷🇺🇸🇮🇱🫵",0,127,18,4,2,0,0,"",0.19593921303749084,0.7593827843666077,0.04467792809009552,"neutro"
"niloalmeida56","2026-01-04","17:21:40","@BolsonaroSP @NicolasMaduro Aqui é Brasil seu chupa bola de outro País perdedores covardes . Engole o choro que tem mais 4 anos pela frente. https://t.co/bQM0m0Kt5i",1,164,25,0,2,0,0,"",0.00795677863061428,0.026363447308540344,0.9656798839569092,"negativo"
