usuario,texto,sentimento_geral,meu_gabarito
rejaneporcaroyahoo.2588,"Só uma correção...representou não, representa...",neutro,neutro
tecnicas_em_nutricao_e_diet,O castigo do Trump vai ser se afogar dentro de um barril de petróleo,neutro,negativo
francisconunesde.araujo,Louvado seja o senhor..🙏🙏🙏🙏,positivo,positivo
julio.rocha_oficial,FUX HONRA A TOGA.,neutro,positivo
quintanilharr,Mr little banana pqp 😂😂😂😂q patético!!!!,negativo,negativo
leooo_santos1,MEU OVO 🇧🇷 NAO GOSTA DE VC,negativo,negativo
sergioteixeirades,🙏🙏🙏🙏🙏🙏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo,positivo
ROSANGE36351206,@nikolas_dm O MAIOR E MELHOR PRESIDENTE QUE O BRASIL JA TEVE JAIR MESSIAS BOLSONARO 🇧🇷🙏 VOLTA BOLSONARO 🙏🇧🇷 VOLTA BOLSONARO 🇧🇷🙏 VOLTA BOLSONARO 🙏🇧🇷 VOLTA BOLSONARO 🇧🇷🙏 VOLTA BOLSONARO 🙏🇧🇷 VOLTA BOLSONARO 🇧🇷🙏,positivo,positivo
aguardandooooo0,"Agora ele tem que passar pelo o que o nosso PRESIDENTE DE VERDADE ESTÁ PASSANDO., DEVIDO AO DEMÔNIO QUE JA CRUSCIFICOU, NOSSO PRESIDENDE POR HONRA. ESPERO QUE ESSE DEMÔNIO SOFRA MUITO ANTES DE MORRER.",negativo,negativo
ricdiolive,"@nikolas_dm O PIX não é uma instituição de pagamento. Ele não é uma empresa, não é um banco e não é uma instituição de pagamento.",neutro,neutro
th_miranda85,@BolsonaroSP @policiafederal Arrombado,negativo,negativo
Maru_Riccio,@nikolas_dm copiaram o mbl na cara dura em,negativo,negativo
lucasleonis,"Vc pode até não gostar do Nikolas, mas vc nunca vai conseguir diminuir esse feito histórico.",positivo,positivo
melgotadaflor,Fui honrar a toga,neutro,positivo
roseli_doreto,Que isso venha logo para o Brasil,positivo,positivo
DjNaldoAoficial,@Joana_correa_ @nikolas_dm Agente se diverte com esses idiotas🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣👏🏼👏🏼👏🏼👏🏼,positivo,positivo
maysaesteer,Que vídeo💚💙💛 Nosso futuro presidente🇧🇷👏🏼,positivo,positivo
VeteranoOSS,@nikolas_dm VC É FODA CARA!!!!!!!,positivo,positivo
patriaamadabrasil2023,Obrigado trump por nos proporcionar esse momento 🇧🇷🇧🇷🇺🇸🇺🇸,positivo,positivo
jmmeirelles,👏👏👏👏👏,positivo,positivo
ROSARIONAS,@BolsonaroSP @NicolasMaduro Vergonha é ser bolsonaristas,negativo,negativo
SniaMariaAfons1,@Adriana19330236 @GayerGus #BolsonaroFree,neutro,positivo
necro_senpai,@IsraelMagma117 @nikolas_dm ele usando a música mais peak do YE e produzindo a edit mais tuff,neutro,positivo
Alexordelin,@nikolas_dm https://t.co/PE7hhSe92b,neutro,neutro
milatanan,"Mexer em saúde e educação é covardia. O certo é cortar fundo partidário, privilégios da Câmara, taxar super ricos e bets. O povo tá de olho — 2026 vai cobrar nas urnas e nas ruas.",negativo,negativo
lucasandradii,@nikolas_dm Pqp um cristão basicamente idolatrando um homem! Esse mundo já era,negativo,negativo
danielbernardoduarte,Top 🇧🇷,positivo,positivo
conectadigital_store,Sempre será nosso presidente,positivo,positivo
caporezzodm,Ponto principal dito por @bolsonarosp : LULA TEM MUITO MEDO DE SER DELATADO POR MADURO!,neutro,neutro
gleciandradedo,Fui honrar a toga,neutro,positivo
tadeoguimaraes,Deus tá por fora disso,negativo,negativo
ceci_acioli,"É o fim dos tempos, coitadinho. Vai precisar voltar pro trabalho. Parou de ser financiado com dinheiro público e está reclamando. Me poupe. O povo se lascando pra sobreviver. Tanta gente séria querendo um cargo desse. Toma vergonha.",negativo,negativo
LeyseMota,@nikolas_dm #acordabrasil,neutro,neutro
fontes_noronha,@BolsonaroSP @NicolasMaduro Para de torcer contra o Brasil seu Necrochorume,negativo,negativo
trindad2701,@nikolas_dm Carta aberta aos bolsominios = to aqui pra Substituir o capetao. 😂,neutro,negativo
NaldoBraz,"@BolsonaroSP Mesma coisa somente acontecerá no Brasil se estes abutres atuais, caírem.",negativo,negativo
sidneisamir,"@wagn_am @BolsonaroSP @NicolasMaduro Carvajal foi extraditado para os Estados Unidos em 2023, onde responde a acusações de tráfico internacional de drogas, lavagem de dinheiro e colaboração com as FARC no contrabando de cocaína.Ex-chefe de inteligência militar chavista diz que governo venezuelano financiou Lula https://t.co/BDpcNaXSRG",neutro,neutro
reflexoesjoaquimsacramento,🇧🇷,neutro,neutro
elidiansousa_bs,Impossível não chorar 😪 🇧🇷,negativo,negativo
diassisrocha_xd,"Ainda tem filho nada puta Aki no Brasil bq defende o maduro,",negativo,negativo
silvana_pereira2,Parabéns Trump,positivo,positivo
mariadagloriadasilvatavar,Nem anda direito com o som da corrente 🇺🇸🇺🇸🙏,neutro,positivo
TildesJunior,@nikolas_dm ANISTIA AMPLA GERAL E IRRESTRITA,negativo,positivo
Leandro72043366,"@nikolas_dm Tu avisou mas não fizeram nada o que que adianta, no país onde o povo é corrupto bunda mole e a nossa direita incompetente estamos fardado ao fracasso.",negativo,negativo
davirodrigues6175,Fux honra a toga,neutro,positivo
esteramaralf,Vamos rezar!🙏🙏🙏🙏,neutro,positivo
Binhodsk,"@GayerGus Rapaz, o cara é pior do que todos pensavam",negativo,negativo
nildabrito1234,A esquerda é CRIMINOSA,negativo,negativo
Aline532241,@nikolas_dm 👏👏👏👏👏🇧🇷🇧🇷🇧🇷,positivo,positivo
eunuunes,"@nikolas_dm No final todos sabem quem confiscou, mas vocês nunca falam quem queria taxar o pix, o ex-ministro Paulo Guedes, quanto a isso, fica calado e enganando quem não estuda e da fé dessas pessoas. https://t.co/gOTDc0jgY9",negativo,negativo
noeldelamare,@BolsonaroSP @grok o video é atual?,neutro,neutro
donna_bella1518,👏👏👏👏,positivo,positivo
dinabarile,Não vejo a hora que isso aconteça aqui,positivo,positivo
EustacioFe52500,@Angela_Bast @GayerGus Tá rezando pouco tia.,neutro,neutro
marlongomesx,🇧🇷🇧🇷🇧🇷🇧🇷,positivo,positivo
deleidecheroto,@GayerGus 🙏🏻🙏🏻,positivo,positivo
junior1509said,Blasfemando e queria concorrer a presidência. Mais não tem capacidade alguma,negativo,negativo
gleysconsuelo,Venezuela LIVRE 🙏,neutro,positivo
Luciano45592426,@Felipe20091381 @nikolas_dm https://t.co/HsfAgpzeov,neutro,neutro
orlicamartins,👏👏👏👏👏👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo,positivo
josereinaldonascimentoperei,"Força Eduardo! Voce é um guerreiro; perto está a vitória, Deus não nos abandonará.",positivo,positivo
sarafeitosacarvalho,Fux horra a toga,negativo,positivo
wanderson.toshiak,"Quem concorda, que não a mal que dure para sempre 👉🏻",neutro,neutro
simmerphoto,👏👏👏👏👏👏👏👏👏,positivo,positivo
abraaocoelhoof_,Que saudade do nosso presidente Bolsonaro 😢🇧🇷🇧🇷🙏,negativo,negativo
marcosantoniooliveiramartin,Temos que derrubar a esquerda no Brasil para que pessoas como estás sejam livres,negativo,negativo
quelenvicente25,Eta Glória 🙏💚🇧🇷,positivo,positivo
iridebrandao,"Acorda Brasil 🇧🇷 sua hora tá chegando. Eu já entrei de pé direito e agora estou com os dois 22, rs 🙏🇧🇷👨‍👨‍👦‍👦",positivo,positivo
Edilenekubiki,"@grok @Sandice21031914 @GayerGus @elonmusk @xai @grok Vou dar outro exemplo Clássico, pense que vai ser assaltado que o bandido já aparece! Pense que vai ser demitido, você ganha sua conta. Principalmente se você rasgar o véu da ignorância! Experiência Própria! Tem um Eu meu que tá curtindo a praia tocando Banjolim de boa, https://t.co/NnHCzkNLHE",neutro,negativo
danielrs1903,,neutro,neutro
catadinho_dta23,"Tá acorrentado nos pés, ou tá cágado mesmo?",negativo,negativo
anecaroline44,👏👏👏👏🇧🇷🇧🇷,positivo,positivo
